month,bucket,bucket_type,tx_count
2011-11-01,600+,sats,4183
2011-11-01,80-100,sats,2863
2011-11-01,9-12,sats,42
2011-11-01,$0,usd,115575
2011-11-01,$0-$0.00005,usd,46528
2011-11-01,$0.00005-$0.00008,usd,912
2011-11-01,$0.00008-$0.0001,usd,563
2011-11-01,$0.0001-$0.00015,usd,1105
2011-11-01,$0.00015-$0.0002,usd,44
2011-11-01,$0.0002-$0.00025,usd,32
2011-11-01,$0.00025-$0.0003,usd,19
2011-11-01,$0.0003-$0.0004,usd,13
2011-11-01,$0.0004-$0.0005,usd,21
2011-11-01,$0.0005-$0.00065,usd,20
2011-11-01,$0.00065-$0.0009,usd,16
2011-11-01,$0.0009-$0.001,usd,7
2011-11-01,$0.001-$0.0015,usd,5
2011-11-01,$0.0015-$0.002,usd,6
2011-11-01,$0.002-$0.003,usd,4
2011-11-01,$0.003-$0.0045,usd,2
2011-11-01,$0.0045-$0.007,usd,2
2011-11-01,$0.007-$0.01,usd,1
2011-12-01,0,sats,113289
2011-12-01,0-2,sats,369
2011-12-01,100-130,sats,6101
2011-12-01,12-18,sats,117
2011-12-01,130-170,sats,309
2011-12-01,170-220,sats,32322
2011-12-01,18-24,sats,110
2011-12-01,2-4,sats,133
2011-12-01,220-350,sats,1128
2011-12-01,24-30,sats,124
2011-12-01,30-40,sats,252
2011-12-01,350-600,sats,985
2011-12-01,4-6,sats,27
2011-12-01,40-50,sats,91
2011-12-01,50-60,sats,1812
2011-12-01,6-9,sats,26
2011-12-01,60-80,sats,2758
2011-12-01,600+,sats,4580
2011-12-01,80-100,sats,3268
2011-12-01,9-12,sats,49
2011-12-01,$0,usd,113289
2011-12-01,$0-$0.00005,usd,51108
2011-12-01,$0.00005-$0.00008,usd,1080
2011-12-01,$0.00008-$0.0001,usd,378
2011-12-01,$0.0001-$0.00015,usd,1078
2011-12-01,$0.00015-$0.0002,usd,663
2011-12-01,$0.0002-$0.00025,usd,88
2011-12-01,$0.00025-$0.0003,usd,28
2011-12-01,$0.0003-$0.0004,usd,36
2011-12-01,$0.0004-$0.0005,usd,7
2011-12-01,$0.0005-$0.00065,usd,19
2011-12-01,$0.00065-$0.0009,usd,21
2011-12-01,$0.0009-$0.001,usd,3
2011-12-01,$0.001-$0.0015,usd,16
2011-12-01,$0.0015-$0.002,usd,8
2011-12-01,$0.002-$0.003,usd,5
2011-12-01,$0.003-$0.0045,usd,13
2011-12-01,$0.0045-$0.007,usd,4
2011-12-01,$0.01-$0.15,usd,1
2011-12-01,$0.15+,usd,5
2012-01-01,0,sats,123994
2012-01-01,0-2,sats,592
2012-01-01,100-130,sats,8246
2012-01-01,12-18,sats,165
2012-01-01,130-170,sats,479
2012-01-01,170-220,sats,40347
2012-01-01,18-24,sats,159
2012-01-01,2-4,sats,172
